system,workload,b1_mean,b1_stdev,b1_count,b2_mean,b2_stdev,b2_count,relative_improvement,bands_overlap
lumi,storm,4.6565,0.2783,30,4.7294,0.228,30,0.0157,True
lumi,supply_chain,4.0551,0.2788,15,4.0798,0.2272,15,0.0061,True
